id,date,merchant,category,amount,currency,payment_method
demo-001,2026-02-01,WPS会员订阅,办公费,27.63,CNY,微信支付
demo-002,2026-02-01,阿里云ECS,软件订阅,311.64,CNY,支付宝
demo-003,2026-02-19,Adobe订阅,软件订阅,231.34,CNY,对公转账
demo-004,2026-02-06,1688批发,物料采购,897.86,CNY,支付宝
demo-005,2026-02-07,海底捞,餐饮招待,714.54,CNY,对公转账
demo-006,2026-02-12,京东工业品,办公费,972.97,CNY,对公转账
demo-007,2026-03-23,淘宝供应链,物料采购,574.86,CNY,微信支付
demo-008,2026-03-10,WPS会员订阅,办公费,466.48,CNY,微信支付
demo-009,2026-03-13,1688批发,物料采购,414.29,CNY,对公转账
demo-010,2026-03-06,瑞幸咖啡,餐饮招待,745.26,CNY,对公转账
demo-011,2026-03-23,顺丰速运,物流费,276.94,CNY,支付宝
demo-012,2026-03-06,滴滴企业版,差旅费,396.84,CNY,支付宝
demo-013,2026-03-13,滴滴企业版,差旅费,519.03,CNY,对公转账
demo-014,2026-03-22,12306,差旅费,437.89,CNY,对公转账
demo-015,2026-04-16,携程商旅,差旅费,466.7,CNY,对公转账
demo-016,2026-04-05,携程商旅,差旅费,63.91,CNY,微信支付
demo-017,2026-04-24,12306,差旅费,711.62,CNY,支付宝
demo-018,2026-04-08,瑞幸咖啡,餐饮招待,578.99,CNY,微信支付
demo-019,2026-04-02,小红书聚光,广告推广,412.71,CNY,微信支付
demo-020,2026-04-14,阿里云ECS,软件订阅,2286.74,CNY,支付宝
demo-021,2026-05-18,12306,差旅费,559.82,CNY,对公转账
demo-022,2026-05-10,阿里巴巴国际站,物料采购,933.35,CNY,对公转账
demo-023,2026-05-24,Adobe订阅,软件订阅,655.28,CNY,支付宝
demo-024,2026-05-17,德邦快递,物流费,446.13,CNY,微信支付
demo-025,2026-05-21,阿里巴巴国际站,物料采购,855.13,CNY,支付宝
demo-026,2026-05-25,微信朋友圈广告,广告推广,1389.01,CNY,微信支付
demo-027,2026-06-19,腾讯会议企业版,软件订阅,1021.63,CNY,微信支付
demo-028,2026-06-03,WPS会员订阅,办公费,899.87,CNY,支付宝
demo-029,2026-06-16,1688批发,物料采购,183.83,CNY,支付宝
demo-030,2026-06-20,Notion Plus订阅,软件订阅,676.9,CNY,对公转账
demo-031,2026-06-13,阿里云ECS,软件订阅,1938.76,CNY,支付宝
demo-032,2026-06-17,携程商旅,差旅费,1464.41,CNY,对公转账
demo-033,2026-07-03,12306,差旅费,1062.18,CNY,微信支付
demo-034,2026-07-08,淘宝供应链,物料采购,275.46,CNY,对公转账
demo-035,2026-07-05,携程商旅,差旅费,94.96,CNY,支付宝
demo-036,2026-07-26,抖音千川,广告推广,2712.89,CNY,对公转账
demo-037,2026-07-04,淘宝供应链,物料采购,2635.9,CNY,支付宝
demo-038,2026-07-15,海底捞,餐饮招待,34.69,CNY,支付宝
demo-anomaly-001,2026-07-22,临时活动场地租赁,场地费,23426.64,CNY,对公转账
